userName,score,at,content
Laddu Santhosh,5,2026-08-28 10:45:31,love this app forever ♾️
Grow ff Yt,5,2026-08-28 10:38:09,myntra quality best
Lokam Boolokam,5,2026-08-28 10:33:35,woah apps??
S. R. Behera,5,2026-08-28 10:33:05,Obviously The Top Notch Fashion Platform
Mahesh anchanapally,5,2026-08-28 10:31:24,good qualities
Pradeep Chauhan,5,2026-08-28 10:31:03,love this app
Akash geming,5,2026-08-28 10:30:12,best app for cloths sopping 👺🍌🥀
Sumi Porel,4,2026-08-28 10:25:11,very good experience
Buddhadev Paul,5,2026-08-28 10:16:31,good 👍
Nisha Nishu,5,2026-08-28 10:11:16,Maine dot and key lip balm order Kiya tha bohot achha tha
Ajit yadav,5,2026-08-28 10:08:23,bahut achha platform hai
Neetu Chauhan,5,2026-08-28 10:07:35,myntra is very good online shopping app nice product 👌 👍👍
Mahima Chauhan,5,2026-08-28 10:05:14,very good app nice product are dilevered
Manish Kami,5,2026-08-28 10:01:22,i love it
Madhu Madhu,5,2026-08-28 10:00:00,Good platform for shopping 🛒🛍️
Pallavi Lokhande,5,2026-08-28 09:58:27,it was good
JONI Yadav,5,2026-08-28 09:57:06,👍
Shivadarshan Ghode,5,2026-08-28 09:56:44,Good
Monika Sathiyadev,5,2026-08-28 09:55:17,good
Tania Deb,5,2026-08-28 09:53:07,nice
Sana Fatima,5,2026-08-28 09:52:38,nice
Devender Singh,5,2026-08-28 09:51:01,best fashion e-com app compare with others.
Soumyadipta Kar,3,2026-08-28 09:46:38,top class
saima shaikh,4,2026-08-28 09:46:32,"nice products , quick delivery"
Parth Warke,5,2026-08-28 09:44:59,"excellent app for online shopping and fashion ,clothes and daily using accessories"
Uday Prajapat,5,2026-08-28 09:42:21,bohot acha app h mujhe 90 rupey ka off bhi mila
Ankit Bhai 24,5,2026-08-28 09:41:49,👍
Kabir Molla,5,2026-08-28 09:39:13,wow
Prakhar Kr,5,2026-08-28 09:38:56,Delivered good product
Pankaj Purohit,5,2026-08-28 09:31:53,"arrival of the ordered item, bang on time super."
Mirishfaq hussain,1,2026-08-28 09:30:57,"weak customer support, when connecting they assign some AI assistant that is aweful, what happen to real human customer care executives, orders getting delayed, delivery boys barely responding."
subhash kamra,4,2026-08-28 09:23:16,good product and best Service
